"SS","YEAR","NEAR.DIST.harvest","MEANAGE.565.harvest"
"CL:C-040-1:1-2",1998,664.2005964,102.5066681
"CL:C-040-1:1-2",1999,664.2005964,102.5066681
"CL:C-040-1:1-3",2000,618.8156023,102.5066681
"CL:C-040-1:1-3",2001,618.8156023,102.5066681
"CL:C-040-1:1-3",2002,618.8156023,102.5066681
"CL:C-040-1:1-3",2003,618.8156023,102.5066681
"CL:C-040-1:1-3",2005,618.8156023,102.5066681
"CL:C-040-1:1-3",2006,618.8156023,102.5066681
"CL:C-040-1:1-3",2007,618.8156023,102.5066681
"CL:C-040-1:1-3",2008,618.8156023,102.5066681
"CL:C-040-1:1-3",2009,618.8156023,102.5066681
"CL:C-040-1:1-3",2010,618.8156023,102.5066681
"CL:C-040-1:1-3",2011,618.8156023,102.5066681
"CL:C-040-1:1-3",2012,618.8156023,102.5066681
"CL:C-040-1:1-3",2014,618.8156023,102.5066681
"CL:C-040-1:1-3",1993,1000,102.5066681
"CL:C-040-1:1-3",1994,1000,102.5066681
"CL:C-040-1:1-3",1995,618.8156023,102.5066681
"CL:C-040-1:1-3",1996,618.8156023,102.5066681
"CL:C-040-1:1-3",1997,618.8156023,102.5066681
"CL:C-040-1:1-3",1998,618.8156023,102.5066681
"CL:C-040-1:1-3",1999,618.8156023,102.5066681
"CL:C-040-1:1-4",2000,451.8477879,6
"CL:C-040-1:1-4",2001,451.8477879,7
"CL:C-040-1:1-4",2002,451.8477879,8
"CL:C-040-1:1-4",2003,451.8477879,9
"CL:C-040-1:1-4",2005,451.8477879,11
"CL:C-040-1:1-4",2006,451.8477879,12
"CL:C-040-1:1-4",2007,451.8477879,13
"CL:C-040-1:1-4",2008,451.8477879,14
"CL:C-040-1:1-4",2009,451.8477879,15
"CL:C-040-1:1-4",2010,451.8477879,16
"CL:C-040-1:1-4",2011,451.8477879,17
"CL:C-040-1:1-4",2012,451.8477879,18
"CL:C-040-1:1-4",2014,451.8477879,20
"CL:C-040-1:1-4",1993,1000,102.5066681
"CL:C-040-1:1-4",1994,1000,102.5066681
"CL:C-040-1:1-4",1995,451.8477879,1
"CL:C-040-1:1-4",1996,451.8477879,2
"CL:C-040-1:1-4",1997,451.8477879,3
"CL:C-040-1:1-4",1998,451.8477879,4
"CL:C-040-1:1-4",1999,451.8477879,5
"CL:C-040-1:2-1",2000,921.1164448,102.5066681
"CL:C-040-1:2-1",2001,921.1164448,102.5066681
"CL:C-040-1:2-1",2002,921.1164448,102.5066681
"CL:C-040-1:2-1",2003,921.1164448,102.5066681
"CL:C-040-1:2-1",2005,921.1164448,102.5066681
"CL:C-040-1:2-1",2006,921.1164448,102.5066681
"CL:C-040-1:2-1",2007,921.1164448,102.5066681
"CL:C-040-1:2-1",2008,921.1164448,102.5066681
"CL:C-040-1:2-1",2009,921.1164448,102.5066681
"CL:C-040-1:2-1",2010,921.1164448,102.5066681
"CL:C-040-1:2-1",2011,921.1164448,102.5066681
"CL:C-040-1:2-1",2012,921.1164448,102.5066681
"CL:C-040-1:2-1",2014,921.1164448,102.5066681
"CL:C-040-1:2-1",1993,1000,102.5066681
"CL:C-040-1:2-1",1994,1000,102.5066681
"CL:C-040-1:2-1",1995,921.1164448,102.5066681
"CL:C-040-1:2-1",1996,921.1164448,102.5066681
"CL:C-040-1:2-1",1997,921.1164448,102.5066681
"CL:C-040-1:2-1",1998,921.1164448,102.5066681
"CL:C-040-1:2-1",1999,921.1164448,102.5066681
"CL:C-040-1:2-2",2000,815.4768082,102.5066681
"CL:C-040-1:2-2",2001,815.4768082,102.5066681
"CL:C-040-1:2-2",2002,815.4768082,102.5066681
"CL:C-040-1:2-2",2003,815.4768082,102.5066681
"CL:C-040-1:2-2",2005,815.4768082,102.5066681
"CL:C-040-1:2-2",2006,815.4768082,102.5066681
"CL:C-040-1:2-2",2007,815.4768082,102.5066681
"CL:C-040-1:2-2",2008,815.4768082,102.5066681
"CL:C-040-1:2-2",2009,815.4768082,102.5066681
"CL:C-040-1:2-2",2010,815.4768082,102.5066681
"CL:C-040-1:2-2",2011,815.4768082,102.5066681
"CL:C-040-1:2-2",2012,815.4768082,102.5066681
"CL:C-040-1:2-2",2014,815.4768082,102.5066681
"CL:C-040-1:2-2",1993,1000,102.5066681
"CL:C-040-1:2-2",1994,1000,102.5066681
"CL:C-040-1:2-2",1995,815.4768082,102.5066681
"CL:C-040-1:2-2",1996,815.4768082,102.5066681
"CL:C-040-1:2-2",1997,815.4768082,102.5066681
"CL:C-040-1:2-2",1998,815.4768082,102.5066681
"CL:C-040-1:2-2",1999,815.4768082,102.5066681
"CL:C-040-1:2-3",2000,615.4781288,102.5066681
"CL:C-040-1:2-3",2001,615.4781288,102.5066681
"CL:C-040-1:2-3",2002,615.4781288,102.5066681
"CL:C-040-1:2-3",2003,615.4781288,102.5066681
"CL:C-040-1:2-3",2005,615.4781288,102.5066681
"CL:C-040-1:2-3",2006,615.4781288,102.5066681
"CL:C-040-1:2-3",2007,615.4781288,102.5066681
"CL:C-040-1:2-3",2008,615.4781288,102.5066681
"CL:C-040-1:2-3",2009,615.4781288,102.5066681
"CL:C-040-1:2-3",2010,615.4781288,102.5066681
"CL:C-040-1:2-3",2011,615.4781288,102.5066681
"CL:C-040-1:2-3",2012,615.4781288,102.5066681
"CL:C-040-1:2-3",2014,615.4781288,102.5066681
"CL:C-040-1:2-3",1993,1000,102.5066681
"CL:C-040-1:2-3",1994,1000,102.5066681
"CL:C-040-1:2-3",1995,615.4781288,102.5066681
